分类,字段/事件,HTTP方法及端点,数据状态,格式/示例值,前置条件,对外接口说明
客队场均进失球,briefing.avgAwayGoals,GET /api/match/:id,✅ 真实,"字符串 '布伦特福德场均进0.8球/失1.2球'",prepare后,
主队心理面判断,briefing.homeForm_mood,GET /api/match/:id,✅ 真实（推导）,"字符串 '曼联近3场2胜以上，士气高涨'",prepare后,"基于真实近3场胜负推导，非AI臆想"
客队心理面判断,briefing.awayForm_mood,GET /api/match/:id,✅ 真实（推导）,"字符串 '布伦特福德近3场无胜，客场压力叠加'",prepare后,
,,,,,,
=== H2H历史数据（football-data.org v4） ===,,,,,,
历史交锋汇总,briefing.h2h,GET /api/match/:id,✅ 真实,"字符串 '近9次交锋：主队5胜1平3负'",prepare后,
历史最常见比分,briefing.h2hScoreFreq,GET /api/match/:id,✅ 真实,"字符串 '近9次最常见：1-0(3次)、0-1(2次)'",prepare后,
历史详细注解,briefing.historicalNote,GET /api/match/:id,✅ 真实（派生）,"字符串 '近9次对阵场均3.4球（78%为大球局）；最近一次2022-01-19：1-3；曼联主场胜率100%（4/4场）'",prepare后,"从H2H原始数据多维提炼：进球密度/大球率/主场胜率/最近一次比分"
积分榜对比,briefing.standings,GET /api/match/:id,✅ 真实,"字符串 '曼联排第3（58分），布伦特福德排第9（48分），积分差10分'",prepare后,
,,,,,,
=== xG预期进球（FPL API） ===,,,,,,
双方xG概览,briefing.xg_note,GET /api/match/:id,✅ 真实（FPL）,"字符串 '曼联：xG/场约1.75（Šeško 0.45、Zirkzee 0.38、B.Fernandes 0.36） | 布伦特福德：xG/场约1.67（Thiago 0.61）'",prepare后,"来自FPL expected_goals_per_90真实赛季数据"
,,,,,,
=== 球员数据（FPL API） ===,,,,,,
主队关键球员列表,homePlayers[],GET /api/match/:id,✅ 真实（FPL）,"数组：[{name:'Šeško',pos:'FWD',stat:'9球2助 xG/90:0.45',status:'available',news:''}]",prepare后,"8名关键球员：1GK+2DEF+3MID+2FWD，含上场时间/进球/助攻/xG/状态"
客队关键球员列表,awayPlayers[],GET /api/match/:id,✅ 真实（FPL）,同上格式,prepare后,
球员伤病新闻,briefing.news,GET /api/match/:id,✅ 真实（FPL）,"字符串 '【曼联】Mbeumo（存疑）：Knock - 75% chance of playing'",prepare后,"FPL官方伤病/停赛消息，英文原文"
战术阵型简判,briefing.tactical,GET /api/match/:id,⚠️ 派生（弱）,"字符串 '曼联双前锋进攻型 vs 布伦特福德单前锋控制型'",prepare后,"基于FPL球员位置数量推断，粗略"
,,,,,,
=== AI生成内容 ===,,,,,,
各Agent叙事种子,agentSeeds.{stat|mystic|history|gambler|psych},GET /api/match/:id,⚠️ AI生成,"对象：5个key各50-80字中文叙事",prepare后,"LLM基于真实数据预生成，可作为文本摘要内容消费"
日期玄学注解,briefing.numerology,GET /api/match/:id,⚠️ 虚构（算术）,"字符串 '4/27日数字和31→精简4，数字不利变数大；上弦蓄势，客队能量涌动'",prepare后,"纯娱乐性，月影姐专用，无真实占星依据"
,,,,,,
=== SSE事件流（GET /api/run?matchId=xxx） ===,,,,,,
阶段切换,{type:'phase' phase:string},SSE /api/run,事件驱动,"phase枚举：opening/initial/reaction/debate/vote/summary",议会运行中,
Agent思考中,"{type:'thinking' agentId:string}",SSE /api/run,事件驱动,agentId枚举：stat/mystic/history/gambler/psych/moderator,议会运行中,
Agent完整发言,"{type:'message' agentId speech catchphrase emotion structured}",SSE /api/run,⚠️ AI生成,"structured字段含：winner(home/draw/away) score([N,M]) confidence(0-1) keyFactor(字符串)",议会运行中,"最核心输出：可接入任意实时显示系统"
黑板状态更新,"{type:'blackboard_update' blackboard:{agentStances consensusLevel pivotMoments}}",SSE /api/run,实时计算,agentStances含各agent当前pick+conf+history,议会运行中,"可消费：实时共识度/各agent立场/转向历史"
立场转向事件,"{type:'pivot' agentId round from to}",SSE /api/run,事件驱动,"from/to枚举：home/draw/away",议会运行中,
辩论结束原因,"{type:'debate_stop' reason msg}",SSE /api/run,事件驱动,"reason枚举：consensus/stalemate/maxrounds",议会运行中,
最终预测汇总,"{type:'summary' results:{home draw away councilScore agentPredictions}}",SSE /api/run,⚠️ AI生成+计算,"home/draw/away为0-1概率；councilScore为[N,M]",议会结束,"最终输出：经W-5概率重平衡器修正后的三方概率+议会建议比分"
,,,,,,
=== 准确率与记忆（GET /api/memory/profiles） ===,,,,,,
各Agent准确率,{agentId: {total correct byType}},GET /api/memory/profiles,✅ 真实（累积）,"{'stat':{total:12,correct:7,byType:{home:{...}}}}",需历史录入数据,"可消费：各AI角色历史胜率，持久化于.memory/long-term.json"
历史对局记录,episodes[],GET /api/memory/profiles（含在profiles响应里）,✅ 真实（累积）,"含matchId/date/actualScore/agentStances/hitLevels",需历史录入数据,"最多保留50场记录"
